Index,Temperature,Humidity%,Rain
2783,26,50.1,Yes
2784,17,40.4,No
2785,13,41.5,No
2786,18,43.6,No
2787,16,42.8,No
2788,16,52.1,No
2789,34,62.7,Yes
2790,21,60.6,No
2791,15,55.9,No
2792,14,50.7,No
2793,19,53.3,No
2794,27,56.1,Yes
2795,24,78.2,Yes
2796,28,75.5,Yes
2797,34,80.8,Yes
2798,34,90.4,Yes
2799,27,82.1,Yes
2800,12,77.0,No
2801,24,77.8,Yes
2802,30,92.3,Yes
2803,32,80.4,Yes
2804,30,74.8,Yes
2805,15,73.7,No
2806,33,86.3,Yes
2807,31,88.8,Yes
2808,29,79.3,Yes
2809,24,72.6,Yes
2810,17,63.6,No
2811,16,61.9,No
2812,33,67.6,Yes
2813,26,90.3,Yes
2814,23,80.9,Yes
2815,16,66.8,No
2816,20,63.9,No
2817,15,61.3,No
2818,23,80.9,Yes
2819,14,65.0,No
2820,27,66.7,Yes
2821,14,69.1,No
2822,27,73.1,Yes
2823,29,90.1,Yes
2824,30,75.9,Yes
2825,23,79.0,Yes
2826,29,69.8,Yes
2827,12,64.4,No
2828,26,66.9,Yes
2829,13,61.8,No
2830,33,70.3,Yes
2831,24,74.8,Yes
2832,24,73.4,Yes
2833,30,82.7,Yes
2834,24,91.1,Yes
2835,13,84.3,No
2836,33,73.5,Yes
2837,25,87.4,Yes
2838,21,83.5,No
2839,16,82.6,No
2840,33,71.5,Yes
2841,27,68.2,Yes
2842,26,80.1,Yes
2843,34,68.9,Yes
2844,33,60.2,Yes
2845,23,63.9,Yes
2846,31,66.6,Yes
2847,24,63.1,Yes
2848,23,61.5,Yes
2849,34,61.6,Yes
2850,14,60.9,No
2851,14,66.1,No
2852,19,63.2,No
2853,12,54.6,No
2854,13,49.3,No
2855,14,45.0,No
2856,18,41.5,No
2857,16,43.9,No
2858,15,42.1,No
2859,21,51.1,No
2860,18,62.8,No
2861,34,60.5,Yes
2862,14,55.1,No
2863,13,51.0,No
2864,17,50.6,No
2865,24,55.1,Yes
2866,30,81.6,Yes
2867,26,79.9,Yes
2868,27,85.1,Yes
2869,29,88.7,Yes
2870,33,82.6,Yes
2871,26,75.2,Yes
2872,34,77.8,Yes
2873,30,92.3,Yes
2874,28,80.4,Yes
2875,23,74.7,Yes
2876,30,76.0,Yes
2877,24,86.1,Yes
2878,32,89.0,Yes
2879,30,85.0,Yes
2880,23,72.3,Yes
2881,16,67.4,No
2882,15,63.5,No
2883,24,70.4,Yes
2884,23,89.5,Yes
2885,24,78.9,Yes
2886,19,68.9,No
2887,24,66.3,Yes
2888,33,68.2,Yes
2889,26,79.5,Yes
2890,19,66.5,No
2891,32,70.7,Yes
2892,17,68.0,No
2893,26,71.3,Yes
2894,26,90.0,Yes
2895,34,78.6,Yes
2896,33,78.9,Yes
2897,32,71.1,Yes
2898,21,63.8,No
2899,29,66.6,Yes
2900,25,62.2,Yes
2901,29,70.3,Yes
2902,28,73.4,Yes
2903,24,71.5,Yes
2904,25,81.9,Yes
2905,26,89.6,Yes
2906,27,84.1,Yes
2907,26,74.3,Yes
2908,26,86.2,Yes
2909,25,82.6,Yes
2910,23,82.5,Yes
2911,32,67.1,Yes
2912,28,69.9,Yes
2913,26,70.9,Yes
2914,14,65.4,No
2915,32,50.4,Yes
2916,33,53.8,Yes
2917,33,60.8,Yes
2918,14,56.9,No
2919,24,53.5,Yes
2920,30,53.7,Yes
2921,25,53.8,Yes
2922,24,54.2,Yes
2923,24,63.2,Yes
2924,15,48.7,No
2925,19,43.2,No
2926,14,39.7,No
2927,30,41.4,Yes
2928,16,44.4,No
2929,20,44.5,No
2930,30,52.2,Yes
2931,30,64.6,Yes
2932,27,61.5,Yes
2933,16,55.3,No
2934,18,51.7,No
2935,15,53.0,No
2936,34,55.8,Yes
2937,24,89.3,Yes
2938,32,78.4,Yes
2939,29,85.3,Yes
2940,27,84.5,Yes
2941,28,81.0,Yes
2942,30,73.5,Yes
2943,33,77.8,Yes
2944,24,94.2,Yes
2945,25,79.7,Yes
2946,25,70.3,Yes
2947,33,61.0,Yes
2948,27,85.1,Yes
2949,34,92.1,Yes
2950,33,82.3,Yes
2951,27,68.2,Yes
2952,34,53.8,Yes
2953,28,59.8,Yes
2954,29,65.7,Yes
2955,33,86.8,Yes
2956,25,65.7,Yes
2957,20,57.1,No
2958,15,50.8,No
2959,21,63.2,No
2960,32,78.1,Yes
2961,31,58.2,Yes
2962,23,70.0,Yes
2963,32,71.2,Yes
2964,25,67.7,Yes
2965,27,90.6,Yes
2966,29,72.3,Yes
2967,26,73.0,Yes
2968,27,62.4,Yes
2969,16,57.2,No
2970,21,56.7,No
2971,20,50.3,No
2972,24,55.7,Yes
2973,24,66.2,Yes
2974,23,66.7,Yes
2975,24,75.1,Yes
2976,33,89.6,Yes
2977,23,75.9,Yes
2978,27,62.9,Yes
2979,15,86.9,No
2980,19,77.5,No
2981,26,71.7,Yes
2982,34,75.0,Yes
2983,26,67.4,Yes
2984,24,81.7,Yes
2985,25,76.2,Yes
2986,27,62.1,Yes
2987,33,70.6,Yes
2988,33,71.5,Yes
2989,32,68.6,Yes
2990,33,68.0,Yes
2991,23,63.4,Yes
2992,33,64.8,Yes
2993,34,66.9,Yes
2994,19,62.0,No
2995,14,55.2,No
2996,13,51.6,No
2997,13,42.9,No
2998,13,41.5,No
2999,15,42.8,No
3000,13,43.4,No
3001,15,54.2,No
3002,31,61.9,Yes
3003,32,56.0,Yes
3004,17,57.2,No
3005,21,52.4,No
3006,16,52.4,No
3007,28,54.1,Yes
3008,30,82.5,Yes
3009,32,78.4,Yes
3010,25,85.3,Yes
3011,34,84.5,Yes
3012,23,81.0,Yes
3013,12,73.5,No
3014,34,77.8,Yes
3015,25,92.3,Yes
3016,31,80.4,Yes
3017,26,72.7,Yes
3018,18,75.4,No
3019,34,84.2,Yes
3020,24,88.5,Yes
3021,29,86.9,Yes
3022,18,73.1,No
3023,32,64.5,Yes
3024,15,62.8,No
3025,30,66.0,Yes
3026,31,89.3,Yes
3027,28,77.3,Yes
3028,21,66.9,No
3029,28,64.3,Yes
3030,21,71.5,No
3031,23,82.7,Yes
3032,18,60.8,No
3033,25,71.6,Yes
3034,15,69.0,No
3035,29,72.9,Yes
3036,29,90.1,Yes
3037,31,79.6,Yes
3038,24,79.3,Yes
3039,26,67.2,Yes
3040,15,63.7,No
3041,14,67.1,No
3042,19,56.3,No
3043,24,66.8,Yes
3044,27,76.5,Yes
3045,17,73.9,No
3046,26,82.9,Yes
3047,32,92.8,Yes
3048,15,84.7,No
3049,25,71.4,Yes
3050,31,84.6,Yes
3051,25,82.8,Yes
3052,24,82.8,Yes
3053,26,77.4,Yes
3054,33,65.5,Yes
3055,24,81.2,Yes
3056,26,74.3,Yes
3057,34,63.3,Yes
3058,27,64.3,Yes
3059,28,65.9,Yes
3060,34,70.4,Yes
3061,23,64.0,Yes
3062,23,64.8,Yes
3063,34,68.1,Yes
3064,32,69.3,Yes
3065,31,67.4,Yes
3066,21,60.3,No
3067,12,54.0,No
3068,19,46.6,No
3069,20,45.8,No
3070,14,42.5,No
3071,17,44.0,No
3072,32,54.8,Yes
3073,30,65.8,Yes
3074,16,59.7,No
3075,20,60.0,No
3076,13,54.9,No
3077,15,58.1,No
3078,31,58.7,Yes
3079,32,82.8,Yes
3080,34,79.9,Yes
3081,33,84.8,Yes
3082,27,86.0,Yes
3083,33,83.3,Yes
3084,23,76.0,Yes
3085,32,79.9,Yes
3086,23,89.8,Yes
3087,30,83.7,Yes
3088,31,74.3,Yes
3089,16,76.9,No
3090,28,85.7,Yes
3091,34,89.0,Yes
3092,25,84.1,Yes
3093,20,69.6,No
3094,26,67.6,Yes
3095,13,64.5,No
3096,23,71.2,Yes
3097,32,90.6,Yes
3098,27,81.0,Yes
3099,18,68.4,No
3100,27,64.5,Yes
3101,23,74.8,Yes
3102,32,80.8,Yes
3103,12,64.2,No
3104,17,69.9,No
3105,13,71.4,No
3106,24,79.1,Yes
3107,29,90.6,Yes
3108,28,82.8,Yes
3109,28,79.2,Yes
3110,26,70.3,Yes
3111,19,65.2,No
3112,14,68.0,No
3113,28,66.8,Yes
3114,28,71.1,Yes
3115,29,78.2,Yes
3116,30,75.9,Yes
3117,34,85.7,Yes
3118,30,89.0,Yes
3119,23,87.0,Yes
3120,24,74.4,Yes
3121,23,86.7,Yes
3122,29,80.7,Yes
3123,34,81.1,Yes
3124,32,85.2,Yes
3125,32,76.1,Yes
3126,33,88.6,Yes
3127,34,80.2,Yes
3128,23,69.2,Yes
3129,31,66.9,Yes
3130,26,76.5,Yes
3131,26,74.2,Yes
3132,27,67.1,Yes
3133,20,74.9,No
3134,32,73.3,Yes
3135,31,74.7,Yes
3136,28,72.2,Yes
3137,15,64.0,No
3138,13,57.4,No
3139,25,53.2,Yes
3140,13,52.2,No
3141,18,47.9,No
3142,15,49.9,No
3143,32,60.5,Yes
3144,25,74.2,Yes
3145,26,65.9,Yes
3146,29,65.2,Yes
3147,19,68.9,No
3148,20,57.7,No
3149,28,63.4,Yes
3150,33,90.5,Yes
3151,28,85.8,Yes
3152,26,91.4,Yes
3153,28,97.4,Yes
3154,28,86.6,Yes
3155,32,81.6,Yes
3156,30,83.4,Yes
3157,26,91.8,Yes
3158,32,83.5,Yes
3159,34,77.4,Yes
3160,27,81.7,Yes
3161,23,85.8,Yes
3162,27,93.1,Yes
3163,29,89.5,Yes
3164,34,78.2,Yes
3165,26,71.3,Yes
3166,31,73.3,Yes
3167,31,78.6,Yes
3168,34,91.2,Yes
3169,24,85.7,Yes
3170,14,74.6,No
3171,21,73.2,No
3172,17,74.1,No
3173,28,88.6,Yes
3174,33,76.5,Yes
3175,28,81.7,Yes
3176,25,83.4,Yes
3177,24,81.0,Yes
3178,27,97.3,Yes
3179,23,85.2,Yes
3180,26,84.0,Yes
3181,26,75.2,Yes
3182,14,70.4,No
3183,20,74.4,No
3184,18,74.6,No
3185,29,76.1,Yes
3186,30,89.3,Yes
3187,19,80.9,No
3188,18,88.2,No
3189,34,95.1,Yes
3190,20,90.3,No
3191,24,79.4,Yes
3192,27,90.5,Yes
3193,30,88.1,Yes
3194,30,87.3,Yes
3195,30,80.4,Yes
3196,30,72.5,Yes
3197,25,85.5,Yes
3198,28,73.8,Yes
3199,29,61.0,Yes
3200,24,60.2,Yes
3201,31,69.8,Yes
3202,24,69.6,Yes
3203,34,58.9,Yes
3204,25,67.3,Yes
3205,23,67.8,Yes
3206,25,64.8,Yes
3207,20,64.2,No
3208,13,58.2,No
3209,13,54.6,No
3210,17,49.0,No
3211,16,48.7,No
3212,15,48.7,No
3213,32,44.4,Yes
3214,30,50.1,Yes
3215,26,70.1,Yes
3216,21,65.0,No
3217,16,62.8,No
3218,16,55.2,No
3219,15,57.1,No
3220,27,57.1,Yes
3221,23,92.0,Yes
3222,34,81.7,Yes
3223,29,87.5,Yes
3224,29,89.5,Yes
3225,30,79.7,Yes
3226,30,73.6,Yes
3227,27,78.9,Yes
3228,27,91.4,Yes
3229,26,83.3,Yes
3230,32,77.4,Yes
3231,24,76.5,Yes
3232,25,86.6,Yes
3233,23,89.5,Yes
3234,25,86.8,Yes
3235,34,73.0,Yes
3236,30,68.4,Yes
3237,33,68.1,Yes
3238,24,75.7,Yes
3239,24,89.1,Yes
3240,34,81.5,Yes
3241,16,69.4,No
3242,13,66.9,No
3243,21,72.1,No
3244,32,92.1,Yes
3245,31,65.5,Yes
3246,29,75.2,Yes
3247,23,78.8,Yes
3248,27,84.2,Yes
3249,26,92.8,Yes
3250,16,79.6,No
3251,24,77.3,Yes
3252,27,70.6,Yes
3253,17,66.2,No
3254,15,63.7,No
3255,16,70.9,No
3256,27,71.1,Yes
3257,30,81.7,Yes
3258,19,74.7,No
3259,28,83.0,Yes
3260,31,89.2,Yes
3261,15,85.0,No
3262,25,73.4,Yes
3263,30,85.5,Yes
3264,23,85.6,Yes
3265,30,81.4,Yes
3266,34,86.8,Yes
3267,31,85.6,Yes
3268,23,89.0,Yes
3269,27,79.5,Yes
3270,14,62.4,No
3271,30,62.3,Yes
3272,31,77.5,Yes
3273,25,70.5,Yes
3274,13,64.0,No
3275,13,66.3,No
3276,27,73.3,Yes
3277,28,77.9,Yes
3278,19,70.5,No
3279,16,66.8,No
3280,15,56.5,No
3281,17,50.0,No
3282,31,51.2,Yes
3283,16,49.1,No
3284,16,46.5,No
3285,21,52.8,No
3286,24,77.0,Yes
3287,12,78.0,No
3288,17,62.1,No
3289,18,56.5,No
3290,15,60.3,No
3291,24,58.6,Yes
3292,32,94.4,Yes
3293,26,85.6,Yes
3294,32,92.6,Yes
3295,26,91.3,Yes
3296,25,87.1,Yes
3297,33,76.8,Yes
3298,33,83.9,Yes
3299,23,95.9,Yes
3300,25,93.7,Yes
3301,26,81.0,Yes
3302,28,82.0,Yes
3303,24,93.5,Yes
3304,29,94.8,Yes
3305,24,92.3,Yes
3306,33,76.4,Yes
3307,34,67.4,Yes
3308,33,72.6,Yes
3309,25,78.8,Yes
3310,32,89.9,Yes
3311,29,83.8,Yes
3312,16,73.4,No
3313,21,71.9,No
3314,20,76.7,No
3315,28,94.5,Yes
3316,32,66.0,Yes
3317,32,76.4,Yes
3318,23,77.5,Yes
3319,25,88.4,Yes
3320,30,93.2,Yes
3321,12,78.8,No
3322,24,93.5,Yes
3323,26,69.4,Yes
3324,14,73.0,No
3325,15,73.3,No
3326,19,52.5,No
3327,29,74.4,Yes
3328,29,90.9,Yes
3329,12,76.7,No
3330,17,83.4,No
3331,32,88.1,Yes
3332,29,90.3,Yes
3333,30,71.3,Yes
3334,24,83.9,Yes
3335,28,84.2,Yes
3336,32,79.6,Yes
3337,26,84.3,Yes
3338,33,69.6,Yes
3339,23,80.5,Yes
3340,25,70.0,Yes
3341,26,56.8,Yes
3342,29,57.2,Yes
3343,23,64.8,Yes
3344,34,62.1,Yes
3345,29,56.2,Yes
3346,30,61.0,Yes
3347,26,63.1,Yes
3348,29,60.4,Yes
3349,14,63.9,No
3350,18,58.0,No
3351,21,52.6,No
3352,16,47.3,No
3353,15,46.7,No
3354,12,43.2,No
3355,24,43.5,Yes
3356,25,49.6,Yes
3357,27,65.7,Yes
3358,20,56.4,No
3359,20,58.0,No
3360,14,52.8,No
3361,13,57.1,No
3362,31,55.9,Yes
3363,25,92.3,Yes
3364,28,80.3,Yes
3365,26,86.7,Yes
3366,27,85.9,Yes
3367,18,77.2,No
3368,23,69.2,Yes
3369,23,76.2,Yes
3370,27,90.4,Yes
3371,23,82.8,Yes
3372,29,76.0,Yes
3373,32,72.1,Yes
3374,30,87.3,Yes
3375,33,95.7,Yes
3376,34,87.2,Yes
3377,12,69.1,No
3378,31,63.9,Yes
3379,18,65.0,No
3380,26,68.8,Yes
3381,26,83.1,Yes
3382,31,77.1,Yes
3383,19,66.4,No
3384,15,63.2,No
3385,16,69.4,No
3386,32,81.7,Yes
3387,33,64.3,Yes
3388,29,71.2,Yes
3389,30,75.1,Yes
3390,30,76.4,Yes
3391,29,89.6,Yes
3392,14,76.5,No
3393,30,73.3,Yes
3394,28,67.7,Yes
3395,13,64.2,No
3396,21,64.4,No
3397,19,60.6,No
3398,29,65.1,Yes
3399,26,75.8,Yes
3400,28,71.1,Yes
3401,34,79.9,Yes
3402,24,86.3,Yes
3403,16,78.2,No
3404,23,69.2,Yes
3405,34,81.8,Yes
3406,26,81.4,Yes
3407,32,76.6,Yes
3408,26,77.1,Yes
3409,17,73.8,No
3410,29,78.5,Yes
3411,24,68.7,Yes
3412,13,55.4,No
3413,30,55.6,Yes
3414,28,67.2,Yes
3415,19,61.4,No
3416,15,55.8,No
3417,26,60.1,Yes
3418,25,63.7,Yes
3419,23,54.9,Yes
3420,16,58.2,No
3421,21,53.5,No
3422,12,43.4,No
3423,15,42.1,No
3424,12,39.9,No
3425,15,39.2,No
3426,12,37.4,No
3427,25,47.8,Yes
3428,30,61.0,Yes
3429,21,59.9,No
3430,20,54.9,No
3431,21,50.0,No
3432,18,48.9,No
3433,25,49.6,Yes
3434,12,92.5,No
3435,27,78.6,Yes
3436,32,84.7,Yes
3437,27,84.5,Yes
3438,12,74.9,No
3439,14,64.5,No
3440,29,73.9,Yes
3441,26,90.9,Yes
3442,32,82.3,Yes
3443,31,70.1,Yes
3444,23,68.1,Yes
3445,30,70.9,Yes
3446,31,92.0,Yes
3447,26,79.8,Yes
3448,13,62.2,No
3449,24,65.1,Yes
3450,21,64.8,No
3451,27,71.0,Yes
3452,13,86.3,No
3453,26,72.0,Yes
3454,20,66.7,No
3455,20,59.0,No
3456,18,68.7,No
3457,33,87.2,Yes
3458,30,62.6,Yes
3459,28,69.0,Yes
3460,32,76.1,Yes
3461,27,72.1,Yes
3462,23,88.5,Yes
3463,34,76.0,Yes
3464,31,72.9,Yes
3465,26,64.1,Yes
3466,15,56.1,No
3467,19,62.7,No
3468,17,53.8,No
3469,26,64.1,Yes
3470,29,77.3,Yes
3471,13,69.5,No
3472,27,77.7,Yes
3473,30,90.3,Yes
3474,18,77.4,No
3475,34,68.2,Yes
3476,23,82.3,Yes
3477,27,80.3,Yes
3478,31,76.0,Yes
3479,26,75.5,Yes
3480,34,72.4,Yes
3481,26,76.2,Yes
3482,26,65.1,Yes
3483,31,51.8,Yes
3484,28,51.4,Yes
3485,34,67.5,Yes
3486,28,55.0,Yes
3487,29,57.9,Yes
3488,28,59.3,Yes
3489,28,64.3,Yes
3490,28,66.2,Yes
3491,21,62.1,No
3492,21,58.0,No
3493,19,49.9,No
3494,12,45.4,No
3495,14,43.5,No
3496,21,47.6,No
3497,18,46.8,No
3498,31,52.7,Yes
3499,26,70.0,Yes
3500,30,61.1,Yes
3501,12,57.7,No
3502,17,53.4,No
3503,19,54.0,No
3504,23,55.6,Yes
3505,27,89.1,Yes
3506,23,81.9,Yes
3507,31,86.3,Yes
3508,24,83.6,Yes
3509,12,79.1,No
3510,24,68.6,Yes
3511,25,75.8,Yes
3512,29,89.2,Yes
3513,28,82.8,Yes
3514,29,78.9,Yes
3515,27,73.0,Yes
3516,28,87.1,Yes
3517,32,90.8,Yes
3518,23,84.1,Yes
3519,13,68.6,No
3520,30,67.3,Yes
3521,29,70.0,Yes
3522,29,73.7,Yes
3523,34,86.7,Yes
3524,32,79.5,Yes
3525,21,57.6,No
3526,21,62.9,No
3527,18,73.6,No
3528,26,75.8,Yes
3529,26,65.3,Yes
3530,26,69.3,Yes
3531,26,75.9,Yes
3532,28,75.1,Yes
3533,34,84.9,Yes
3534,34,77.2,Yes
3535,25,73.7,Yes
3536,27,66.6,Yes
3537,20,65.7,No
3538,12,65.0,No
3539,18,59.3,No
3540,28,66.5,Yes
3541,32,78.9,Yes
3542,25,73.2,Yes
3543,26,79.6,Yes
3544,30,85.9,Yes
3545,20,79.4,No
3546,34,70.9,Yes
3547,33,81.0,Yes
3548,32,80.8,Yes
3549,28,76.3,Yes
3550,23,76.6,Yes
3551,26,79.0,Yes
3552,29,79.0,Yes
3553,28,73.1,Yes
3554,26,58.1,Yes
3555,32,56.3,Yes
3556,33,71.7,Yes
3557,27,66.6,Yes
3558,28,63.6,Yes
3559,25,67.2,Yes
3560,34,70.4,Yes
3561,34,67.1,Yes
3562,13,68.1,No
3563,12,64.2,No
3564,19,55.8,No
3565,15,49.4,No
3566,18,48.1,No
3567,19,47.1,No
3568,29,46.6,Yes
3569,26,53.2,Yes
3570,31,71.6,Yes
3571,33,66.1,Yes
3572,19,59.6,No
3573,13,57.7,No
3574,13,58.1,No
3575,23,59.6,Yes
3576,30,88.6,Yes
3577,28,82.8,Yes
3578,31,87.9,Yes
3579,30,86.0,Yes
3580,25,81.7,Yes
3581,31,77.9,Yes
3582,30,84.7,Yes
3583,30,92.1,Yes
3584,26,85.2,Yes
3585,26,84.2,Yes
3586,31,80.9,Yes
3587,30,88.4,Yes
3588,25,92.3,Yes
3589,34,88.3,Yes
3590,28,76.1,Yes
3591,27,71.8,Yes
3592,17,75.4,No
3593,26,77.7,Yes
3594,29,90.3,Yes
3595,30,83.7,Yes
3596,15,57.3,No
3597,30,70.8,Yes
3598,15,79.1,No
3599,33,83.0,Yes
3600,29,74.4,Yes
3601,34,82.3,Yes
3602,26,76.1,Yes
3603,32,78.5,Yes
3604,30,90.3,Yes
3605,32,82.0,Yes
3606,28,85.7,Yes
3607,34,70.4,Yes
3608,14,68.3,No
3609,25,70.0,Yes
3610,12,69.5,No
3611,32,59.1,Yes
3612,31,83.5,Yes
3613,26,75.2,Yes
3614,34,85.2,Yes
3615,24,90.0,Yes
3616,12,84.4,No
3617,26,73.9,Yes
3618,28,85.3,Yes
3619,34,86.1,Yes
3620,24,80.4,Yes
3621,25,75.1,Yes
3622,21,66.6,No
3623,30,65.6,Yes
3624,20,62.8,No
3625,24,49.6,Yes
3626,27,45.4,Yes
3627,28,49.7,Yes
3628,24,55.4,Yes
3629,30,43.7,Yes
3630,31,50.9,Yes
3631,23,49.8,Yes
3632,24,62.9,Yes
3633,12,51.2,No
3634,20,46.2,No
3635,18,43.2,No
3636,31,35.2,Yes
3637,18,36.2,No
3638,28,37.3,Yes
3639,18,35.1,No
3640,25,45.1,Yes
3641,29,62.9,Yes
3642,12,53.6,No
3643,13,54.5,No
3644,17,51.9,No
3645,13,47.1,No
3646,23,55.0,Yes
3647,24,87.5,Yes
3648,34,83.3,Yes
3649,33,79.6,Yes
3650,32,92.3,Yes
3651,31,90.7,Yes
3652,16,71.2,No
3653,34,72.6,Yes
3654,27,85.8,Yes
3655,29,88.0,Yes
3656,16,71.9,No
3657,29,71.0,Yes
3658,34,85.0,Yes
3659,32,84.6,Yes
3660,27,88.7,Yes
3661,26,74.1,Yes
3662,33,63.5,Yes
3663,34,62.6,Yes
3664,29,69.3,Yes
3665,16,73.1,No
3666,26,68.6,Yes
3667,15,60.1,No
3668,34,58.9,Yes
3669,15,55.9,No
3670,34,58.7,Yes
3671,14,57.0,No
3672,26,63.6,Yes
3673,17,62.2,No
3674,32,65.0,Yes
3675,17,66.1,No
3676,18,47.9,No
3677,33,64.3,Yes
3678,25,63.1,Yes
3679,19,63.1,No
3680,19,50.4,No
3681,12,57.9,No
3682,24,62.1,Yes
3683,18,67.6,No
3684,34,71.7,Yes
3685,25,79.9,Yes
3686,33,75.4,Yes
3687,14,86.0,No
3688,28,67.7,Yes
3689,21,73.9,No
3690,14,71.7,No
3691,23,69.1,Yes
3692,12,82.3,No
3693,15,60.2,No
3694,32,55.6,Yes
3695,23,68.0,Yes
3696,21,55.7,No
3697,21,48.3,No
3698,29,56.2,Yes
3699,32,62.5,Yes
3700,27,55.4,Yes
3701,20,55.2,No
3702,29,55.4,Yes
3703,25,61.7,Yes
3704,24,77.5,Yes
3705,26,53.4,Yes
3706,21,52.1,No
3707,19,43.9,No
3708,16,41.5,No
3709,30,47.1,Yes
3710,26,46.6,Yes
3711,30,59.4,Yes
3712,34,79.0,Yes
3713,19,71.8,No
3714,16,70.9,No
3715,21,59.5,No
3716,17,63.2,No
3717,33,65.7,Yes
3718,33,42.8,Yes
3719,33,83.8,Yes
3720,24,75.9,Yes
3721,25,78.6,Yes
3722,25,94.2,Yes
3723,16,78.2,No
3724,24,56.7,Yes
3725,31,56.5,Yes
3726,32,94.8,Yes
3727,25,85.5,Yes
3728,16,77.8,No
3729,29,90.8,Yes
3730,34,60.4,Yes
3731,34,93.8,Yes
3732,27,86.4,Yes
3733,17,80.9,No
3734,19,78.9,No
3735,20,80.7,No
3736,23,86.7,Yes
3737,20,85.0,No
3738,15,71.9,No
3739,17,81.8,No
3740,12,69.5,No
3741,18,71.0,No
3742,28,80.7,Yes
3743,33,86.9,Yes
3744,34,86.8,Yes
3745,17,83.5,No
3746,17,88.0,No
3747,17,63.9,No
3748,21,72.3,No
3749,33,82.0,Yes
3750,32,69.6,Yes
3751,14,63.5,No
3752,26,72.1,Yes
3753,15,26.8,Yes
3754,30,62.4,Yes
3755,26,62.3,Yes
3756,28,91.3,Yes
3757,23,56.7,Yes
3758,19,56.5,No
3759,33,55.8,Yes
3760,26,63.8,Yes
3761,12,94.3,No
3762,13,89.5,No
3763,12,55.9,No
3764,21,59.6,No
3765,29,55.6,Yes
3766,21,64.4,No
3767,14,51.2,No
3768,28,45.2,Yes
3769,25,53.3,Yes
3770,28,52.4,Yes
3771,26,40.5,Yes
3772,32,49.4,Yes
3773,19,46.7,No
3774,34,56.0,Yes
3775,29,51.2,Yes
3776,27,54.8,Yes
3777,15,49.5,No
3778,21,40.1,No
3779,19,42.0,No
3780,26,47.7,Yes
3781,24,44.8,Yes
3782,15,31.5,Yes
3783,24,58.0,Yes
3784,17,61.4,No
3785,18,61.7,No
3786,12,62.3,No
3787,15,57.1,No
3788,24,68.7,Yes
3789,24,62.2,Yes
3790,31,70.7,Yes
3791,24,83.0,Yes
3792,27,87.8,Yes
3793,23,89.4,Yes
3794,29,72.7,Yes
3795,34,82.1,Yes
3796,32,84.0,Yes
3797,34,89.8,Yes
3798,26,75.1,Yes
3799,24,77.2,Yes
3800,24,78.7,Yes
3801,33,80.2,Yes
3802,31,86.7,Yes
3803,19,73.0,No
3804,27,65.8,Yes
3805,25,69.0,Yes
3806,19,70.6,No
3807,24,77.0,Yes
3808,27,73.4,Yes
3809,26,72.9,Yes
3810,20,68.9,No
3811,14,67.5,No
3812,12,71.4,No
3813,24,71.7,Yes
3814,28,74.8,Yes
3815,34,75.0,Yes
3816,28,75.0,Yes
3817,30,75.7,Yes
3818,31,61.9,Yes
3819,20,70.8,No
3820,23,67.3,Yes
3821,13,66.5,No
3822,21,62.6,No
3823,13,72.3,No
3824,31,44.8,Yes
3825,23,63.4,Yes
3826,19,78.0,No
3827,32,65.1,Yes
3828,23,65.3,Yes
3829,16,82.3,No
3830,33,72.3,Yes
3831,30,63.8,Yes
3832,20,81.6,No
3833,15,79.8,No
3834,12,82.1,No
3835,12,60.5,No
3836,31,65.1,Yes
3837,29,67.8,Yes
3838,23,55.7,Yes
3839,17,44.7,No
3840,24,55.3,Yes
3841,26,59.8,Yes
3842,34,49.6,Yes
3843,12,52.0,No
3844,26,49.9,Yes
3845,26,65.9,Yes
3846,25,70.6,Yes
3847,25,53.1,Yes
3848,20,46.6,No
3849,15,38.4,No
3850,31,39.3,Yes
3851,32,46.3,Yes
3852,17,43.7,No
3853,33,52.8,Yes
3854,31,78.9,Yes
3855,18,64.9,No
3856,13,59.5,No
3857,18,56.8,No
3858,15,53.3,No
3859,23,63.2,Yes
3860,24,85.2,Yes
3861,26,82.4,Yes
3862,23,74.2,Yes
3863,31,91.2,Yes
3864,32,95.2,Yes
3865,20,79.4,No
3866,24,87.5,Yes
3867,23,90.1,Yes
3868,33,91.7,Yes
3869,28,78.8,Yes
3870,34,77.8,Yes
3871,34,90.8,Yes
3872,34,60.4,Yes
3873,32,99.3,Yes
3874,31,74.0,Yes
3875,26,75.8,Yes
3876,12,72.9,No
3877,29,75.1,Yes
3878,27,84.7,Yes
3879,28,74.6,Yes
3880,16,72.9,No
3881,17,75.0,No
3882,15,66.4,No
3883,16,69.8,No
3884,28,73.6,Yes
3885,23,76.6,Yes
3886,25,89.5,Yes
3887,31,85.8,Yes
3888,14,85.6,No
3889,18,67.8,No
3890,13,74.3,No
3891,30,75.6,Yes
3892,16,70.4,No
3893,13,62.8,No
3894,26,75.3,Yes
3895,31,93.6,Yes
3896,31,93.0,Yes
3897,28,91.9,Yes
3898,34,92.5,Yes
3899,30,91.6,Yes
3900,15,92.8,No
3901,25,83.0,Yes
3902,25,91.6,Yes
3903,15,91.1,No
3904,18,89.3,No
3905,30,80.3,Yes
3906,29,72.3,Yes
3907,24,76.5,Yes
3908,30,69.3,Yes
3909,16,59.9,No
3910,18,58.3,No
3911,34,60.1,Yes
3912,31,59.2,Yes
